"Country/Area","Year","Unit","GDP, Per Capita GDP at constant 2015 prices - US Dollars"
"Afghanistan","2020","US$","516.6689729023191"
"Africa","2020","US$","1907.2855916160793"
"Albania","2020","US$","4358.019959819175"
"Algeria","2020","US$","3838.7004293278933"
"Americas","2020","US$","25422.78749604632"
"Andorra","2020","US$","34274.85570738984"
"Angola","2020","US$","3213.7856588338263"
"Anguilla","2020","US$","16120.292138736466"
"Antigua and Barbuda","2020","US$","13286.18946760585"
"Argentina","2020","US$","12347.719791472255"
"Armenia","2020","US$","4022.252274270935"
"Aruba","2020","US$","22144.26467121321"
"Asia","2020","US$","6838.286064960567"
"Australia","2020","US$","53244.149099268"
"Australia and New Zealand","2020","US$","51527.7485565805"
"Austria","2020","US$","42898.26280828137"
"Azerbaijan","2020","US$","5058.539313510104"
"Bahamas","2020","US$","27209.82150083711"
"Bahrain","2020","US$","19343.35285404417"
"Bangladesh","2020","US$","1665.913094371957"
"Barbados","2020","US$","13660.32066772162"
"Belarus","2020","US$","6194.210705282876"
"Belgium","2020","US$","40264.376283104415"
"Belize","2020","US$","3851.474286091303"
"Benin","2020","US$","1192.0916982858535"
"Bermuda","2020","US$","110825.06492424443"
"Bhutan","2020","US$","3167.4375582703447"
"Bolivia (Plurinational State of)","2020","US$","2983.0290930453466"
"Bosnia and Herzegovina","2020","US$","5367.481183325193"
"Botswana","2020","US$","6525.494808734076"
"Brazil","2020","US$","8228.77966218845"
"British Virgin Islands","2020","US$","46502.09113766195"
"Brunei Darussalam","2020","US$","30690.85716981575"
"Bulgaria","2020","US$","7904.461133917527"
"Burkina Faso","2020","US$","732.5767278479098"
"Burundi","2020","US$","275.71220230601705"
"Cabo Verde","2020","US$","2934.128218264794"
"Cambodia","2020","US$","1375.6008483781993"
"Cameroon","2020","US$","1340.689472781603"
"Canada","2020","US$","42391.33834501506"
"Caribbean","2020","US$","7991.953597644268"
"Cayman Islands","2020","US$","86787.86497968902"
"Central African Republic","2020","US$","414.54043936286945"
"Central America","2020","US$","7755.427155348868"
"Central Asia","2020","US$","4825.957088913174"
"Chad","2020","US$","679.210873736811"
"Chile","2020","US$","12954.41108734106"
"China (mainland)","2020","US$","10165.872658370905"
"China, Hong Kong SAR","2020","US$","41715.28929140894"
"China, Macao Special Administrative Region","2020","US$","34336.16256427218"
"Colombia","2020","US$","5889.221485457583"
"Comoros","2020","US$","1349.791806902858"
"Congo","2020","US$","1564.1874857241457"
"Cook Islands","2020","US$","16332.15780619606"
"Costa Rica","2020","US$","11969.763680619122"
"Croatia","2020","US$","12802.548335742444"
"Cuba","2020","US$","7162.075217182141"
"Curaçao","2020","US$","14422.73035700516"
"Cyprus","2020","US$","26941.896869560653"
"Czechia","2020","US$","18965.772823589006"
"Côte d'Ivoire","2020","US$","2312.911185493974"
"Democratic People's Republic of Korea","2020","US$","584.4613268791262"
"Democratic Republic of the Congo","2020","US$","505.34695725074073"
"Denmark","2020","US$","56582.54577012487"
"Djibouti","2020","US$","3251.8535303386816"
"Dominica","2020","US$","6610.321354367161"
"Dominican Republic","2020","US$","7676.649915902303"
"Eastern Africa","2020","US$","906.7028999675056"
"Eastern Asia","2020","US$","12882.124329184473"
"Eastern Europe","2020","US$","9686.900599007957"
"Ecuador","2020","US$","5317.679065029485"
"Egypt","2020","US$","3886.2744119443973"
"El Salvador","2020","US$","3666.187605206881"
"Equatorial Guinea","2020","US$","6772.708331340046"
"Eritrea","2020","US$","639.8160519115843"
"Estonia","2020","US$","19802.981417671228"
"Ethiopia","2020","US$","793.7957484710428"
"Europe","2020","US$","26154.822927190897"
"Fiji","2020","US$","4902.59198312761"
"Finland","2020","US$","44692.38547748772"
"France","2020","US$","35699.62731510458"
"French Polynesia","2020","US$","19867.19476168688"
"Gabon","2020","US$","6889.899745373825"
"Gambia","2020","US$","677.663485408252"
"Georgia","2020","US$","4177.255174813804"
"Germany","2020","US$","40991.57797552037"
"Ghana","2020","US$","2044.25601450677"
"Greece","2020","US$","17777.894876858434"
"Greenland","2020","US$","48314.31310242419"
"Grenada","2020","US$","8698.856827405989"
"Guatemala","2020","US$","3882.7019185701733"
"Guinea","2020","US$","984.9089239874354"
"Guinea-Bissau","2020","US$","637.9637934641678"
"Guyana","2020","US$","9250.363002482069"
"Haiti","2020","US$","1264.269780471899"
"Honduras","2020","US$","2239.0109266390637"
"Hungary","2020","US$","14502.257615390665"
"Iceland","2020","US$","57118.96986038659"
"India","2020","US$","1848.8641252461148"
"Indonesia","2020","US$","3756.907246384791"
"Iran, Islamic Republic of","2020","US$","5232.137526812107"
"Iraq","2020","US$","4247.821179282119"
"Ireland","2020","US$","79464.15933888344"
"Israel","2020","US$","39912.052418589235"
"Italy","2020","US$","28856.7525532126"
"Jamaica","2020","US$","4531.7060930356265"
"Japan","2020","US$","34636.93161483822"
"Jordan","2020","US$","4028.930310886186"
"Kazakhstan","2020","US$","10961.946990731103"
"Kenya","2020","US$","1559.552321538556"
"Kingdom of Eswatini","2020","US$","3566.1511400750464"
"Kiribati","2020","US$","1473.8617994005517"
"Kosovo","2020","US$","4033.251262823314"
"Kuwait","2020","US$","24433.104813202055"
"Kyrgyzstan","2020","US$","1109.4301375164991"
"Lao People's Democratic Republic","2020","US$","2618.367401847504"
"Latin America and the Caribbean","2020","US$","7835.843155216062"
"Latvia","2020","US$","15695.360704984952"
"Lebanon","2020","US$","5140.018279144674"
"Lesotho","2020","US$","1046.9742344935014"
"Liberia","2020","US$","517.0860022997432"
"Libya","2020","US$","2883.7781336461367"
"Liechtenstein","2020","US$","174652.74925771123"
"Lithuania","2020","US$","17665.753750042328"
"Luxembourg","2020","US$","105580.85300667472"
"Madagascar","2020","US$","438.87516136406487"
"Malawi","2020","US$","568.8114553080368"
"Malaysia","2020","US$","10616.846654195482"
"Maldives","2020","US$","6660.7951205418885"
"Mali","2020","US$","852.0851971801249"
"Malta","2020","US$","29764.27336870681"
"Marshall Islands","2020","US$","3509.0357999662106"
"Mauritania","2020","US$","1474.6847262924807"
"Mauritius","2020","US$","9015.266098517557"
"Melanesia","2020","US$","3549.284707769689"
"Mexico","2020","US$","8920.591509997439"
"Micronesia","2020","US$","3338.980280277054"
"Micronesia (Federated States of)","2020","US$","2838.5253961831327"
"Middle Africa","2020","US$","1300.0079882901266"
"Monaco","2020","US$","159106.58101840227"
"Mongolia","2020","US$","4077.731213924188"
"Montenegro","2020","US$","6450.568260979514"
"Montserrat","2020","US$","13169.384628870179"
"Morocco","2020","US$","3061.1335558737105"
"Mozambique","2020","US$","574.5955320726235"
"Myanmar","2020","US$","1193.1848249703307"
"Namibia","2020","US$","4084.2532402200754"
"Nauru","2020","US$","10299.395518292977"
"Nepal","2020","US$","999.1793099763506"
"Netherlands","2020","US$","47155.727790690195"
"New Caledonia","2020","US$","30674.120201200323"
"New Zealand","2020","US$","42451.45242238946"
"Nicaragua","2020","US$","1922.3477942460577"
"Niger","2020","US$","522.1600389360775"
"Nigeria","2020","US$","2434.3260472611178"
"Northern Africa","2020","US$","3396.6892004044585"
"Northern America","2020","US$","56542.93323906613"
"Northern Europe","2020","US$","46355.68616641964"
"Norway","2020","US$","74481.05057890282"
"Oceania","2020","US$","37990.41841918379"
"Oman","2020","US$","13737.139075591838"
"Pakistan","2020","US$","1446.8089238996113"
"Palau","2020","US$","14113.006963634354"
"Panama","2020","US$","12168.492293422196"
"Papua New Guinea","2020","US$","2690.0765518369753"
"Paraguay","2020","US$","5645.988920259143"
"Peru","2020","US$","5792.115158342764"
"Philippines","2020","US$","3269.668105951917"
"Poland","2020","US$","14681.115172174927"
"Polynesia","2020","US$","11599.195381393769"
"Portugal","2020","US$","19958.172296716755"
"Puerto Rico","2020","US$","32388.96812681699"
"Qatar","2020","US$","56019.45735126536"
"Republic of Korea","2020","US$","31673.900822175034"
"Republic of Moldova","2020","US$","2111.4276809385738"
"Republic of North Macedonia","2020","US$","5089.285804765497"
"Romania","2020","US$","10855.803458635795"
